id,pclass,age,sex,survived
197,1st,adult,female,yes
198,1st,adult,female,yes
199,1st,adult,female,yes
200,1st,adult,female,yes
201,1st,adult,female,yes
202,1st,adult,female,yes
203,1st,adult,female,yes
204,1st,adult,female,yes
205,1st,adult,female,yes
206,1st,adult,female,yes
207,1st,adult,female,yes
208,1st,adult,female,yes
209,1st,adult,female,yes
210,1st,adult,female,yes
211,1st,adult,female,yes
212,1st,adult,female,yes
213,1st,adult,female,yes
214,1st,adult,female,yes
215,1st,adult,female,yes
216,1st,adult,female,yes
217,1st,adult,female,yes
218,1st,adult,female,yes
219,1st,adult,female,yes
220,1st,adult,female,yes
221,1st,adult,female,yes
222,1st,adult,female,yes
223,1st,adult,female,yes
224,1st,adult,female,yes
225,1st,adult,female,yes
226,1st,adult,female,yes
227,1st,adult,female,yes
228,1st,adult,female,yes
229,1st,adult,female,yes
230,1st,adult,female,yes
231,1st,adult,female,yes
232,1st,adult,female,yes
233,1st,adult,female,yes
234,1st,adult,female,yes
235,1st,adult,female,yes
236,1st,adult,female,yes
237,1st,adult,female,yes
238,1st,adult,female,yes
239,1st,adult,female,yes
240,1st,adult,female,yes
241,1st,adult,female,yes
242,1st,adult,female,yes
243,1st,adult,female,yes
244,1st,adult,female,yes
245,1st,adult,female,yes
246,1st,adult,female,yes
247,1st,adult,female,yes
248,1st,adult,female,yes
249,1st,adult,female,yes
250,1st,adult,female,yes
251,1st,adult,female,yes
252,1st,adult,female,yes
253,1st,adult,female,yes
254,1st,adult,female,yes
255,1st,adult,female,yes
256,1st,adult,female,yes
257,1st,adult,female,yes
258,1st,adult,female,yes
259,1st,adult,female,yes
260,1st,adult,female,yes
261,1st,adult,female,yes
262,1st,adult,female,yes
263,1st,adult,female,yes
264,1st,adult,female,yes
265,1st,adult,female,yes
266,1st,adult,female,yes
267,1st,adult,female,yes
268,1st,adult,female,yes
269,1st,adult,female,yes
270,1st,adult,female,yes
271,1st,adult,female,yes
272,1st,adult,female,yes
273,1st,adult,female,yes
274,1st,adult,female,yes
275,1st,adult,female,yes
276,1st,adult,female,yes
277,1st,adult,female,yes
278,1st,adult,female,yes
279,1st,adult,female,yes
280,1st,adult,female,yes
281,1st,adult,female,yes
282,1st,adult,female,yes
283,1st,adult,female,yes
284,1st,adult,female,yes
285,1st,adult,female,yes
286,1st,adult,female,yes
287,1st,adult,female,yes
288,1st,adult,female,yes
289,1st,adult,female,yes
290,1st,adult,female,yes
291,1st,adult,female,yes
292,1st,adult,female,yes
293,1st,adult,female,yes
294,1st,adult,female,yes
295,1st,adult,female,yes
296,1st,adult,female,yes
297,1st,adult,female,yes
298,1st,adult,female,yes
299,1st,adult,female,yes
300,1st,adult,female,yes
301,1st,adult,female,yes
302,1st,adult,female,yes
303,1st,adult,female,yes
304,1st,adult,female,yes
305,1st,adult,female,yes
306,1st,adult,female,yes
307,1st,adult,female,yes
308,1st,adult,female,yes
309,1st,adult,female,yes
310,1st,adult,female,yes
311,1st,adult,female,yes
312,1st,adult,female,yes
313,1st,adult,female,yes
314,1st,adult,female,yes
315,1st,adult,female,yes
316,1st,adult,female,no
317,1st,adult,female,no
318,1st,adult,female,no
319,1st,adult,female,no
320,1st,child,male,yes
321,1st,child,male,yes
322,1st,child,male,yes
323,1st,child,male,yes
324,1st,child,male,yes
325,1st,child,female,yes
326,2nd,adult,male,yes
327,2nd,adult,male,yes
328,2nd,adult,male,yes
329,2nd,adult,male,yes
330,2nd,adult,male,yes
331,2nd,adult,male,yes
332,2nd,adult,male,yes
333,2nd,adult,male,yes
334,2nd,adult,male,yes
335,2nd,adult,male,yes
336,2nd,adult,male,yes
337,2nd,adult,male,yes
338,2nd,adult,male,yes
339,2nd,adult,male,yes
340,2nd,adult,male,no
341,2nd,adult,male,no
342,2nd,adult,male,no
343,2nd,adult,male,no
344,2nd,adult,male,no
345,2nd,adult,male,no
346,2nd,adult,male,no
347,2nd,adult,male,no
348,2nd,adult,male,no
349,2nd,adult,male,no
350,2nd,adult,male,no
351,2nd,adult,male,no
352,2nd,adult,male,no
353,2nd,adult,male,no
354,2nd,adult,male,no
355,2nd,adult,male,no
356,2nd,adult,male,no
357,2nd,adult,male,no
358,2nd,adult,male,no
359,2nd,adult,male,no
360,2nd,adult,male,no
361,2nd,adult,male,no
362,2nd,adult,male,no
363,2nd,adult,male,no
364,2nd,adult,male,no
365,2nd,adult,male,no
366,2nd,adult,male,no
367,2nd,adult,male,no
368,2nd,adult,male,no
369,2nd,adult,male,no
370,2nd,adult,male,no
371,2nd,adult,male,no
372,2nd,adult,male,no
373,2nd,adult,male,no
374,2nd,adult,male,no
375,2nd,adult,male,no
376,2nd,adult,male,no
377,2nd,adult,male,no
378,2nd,adult,male,no
379,2nd,adult,male,no
380,2nd,adult,male,no
381,2nd,adult,male,no
382,2nd,adult,male,no
383,2nd,adult,male,no
384,2nd,adult,male,no
385,2nd,adult,male,no
386,2nd,adult,male,no
387,2nd,adult,male,no
388,2nd,adult,male,no
389,2nd,adult,male,no
390,2nd,adult,male,no
391,2nd,adult,male,no
392,2nd,adult,male,no
393,2nd,adult,male,no
394,2nd,adult,male,no
395,2nd,adult,male,no
396,2nd,adult,male,no
397,2nd,adult,male,no
398,2nd,adult,male,no
399,2nd,adult,male,no
400,2nd,adult,male,no
401,2nd,adult,male,no
402,2nd,adult,male,no
403,2nd,adult,male,no
404,2nd,adult,male,no
405,2nd,adult,male,no
406,2nd,adult,male,no
407,2nd,adult,male,no
408,2nd,adult,male,no
409,2nd,adult,male,no
410,2nd,adult,male,no
411,2nd,adult,male,no
412,2nd,adult,male,no
413,2nd,adult,male,no
414,2nd,adult,male,no
415,2nd,adult,male,no
416,2nd,adult,male,no
417,2nd,adult,male,no
418,2nd,adult,male,no
419,2nd,adult,male,no
420,2nd,adult,male,no
421,2nd,adult,male,no
422,2nd,adult,male,no
423,2nd,adult,male,no
424,2nd,adult,male,no
425,2nd,adult,male,no
426,2nd,adult,male,no
427,2nd,adult,male,no
428,2nd,adult,male,no
429,2nd,adult,male,no
430,2nd,adult,male,no
431,2nd,adult,male,no
432,2nd,adult,male,no
433,2nd,adult,male,no
434,2nd,adult,male,no
435,2nd,adult,male,no
436,2nd,adult,male,no
437,2nd,adult,male,no
438,2nd,adult,male,no
439,2nd,adult,male,no
440,2nd,adult,male,no
441,2nd,adult,male,no
442,2nd,adult,male,no
443,2nd,adult,male,no
444,2nd,adult,male,no
445,2nd,adult,male,no
446,2nd,adult,male,no
447,2nd,adult,male,no
448,2nd,adult,male,no
449,2nd,adult,male,no
450,2nd,adult,male,no
451,2nd,adult,male,no
452,2nd,adult,male,no
453,2nd,adult,male,no
454,2nd,adult,male,no
455,2nd,adult,male,no
456,2nd,adult,male,no
457,2nd,adult,male,no
458,2nd,adult,male,no
459,2nd,adult,male,no
460,2nd,adult,male,no
461,2nd,adult,male,no
462,2nd,adult,male,no
463,2nd,adult,male,no
464,2nd,adult,male,no
465,2nd,adult,male,no
466,2nd,adult,male,no
467,2nd,adult,male,no
468,2nd,adult,male,no
469,2nd,adult,male,no
470,2nd,adult,male,no
471,2nd,adult,male,no
472,2nd,adult,male,no
473,2nd,adult,male,no
474,2nd,adult,male,no
475,2nd,adult,male,no
476,2nd,adult,male,no
477,2nd,adult,male,no
478,2nd,adult,male,no
479,2nd,adult,male,no
480,2nd,adult,male,no
481,2nd,adult,male,no
482,2nd,adult,male,no
483,2nd,adult,male,no
484,2nd,adult,male,no
485,2nd,adult,male,no
486,2nd,adult,male,no
487,2nd,adult,male,no
488,2nd,adult,male,no
489,2nd,adult,male,no
490,2nd,adult,male,no
491,2nd,adult,male,no
492,2nd,adult,male,no
493,2nd,adult,male,no
494,2nd,adult,female,yes
495,2nd,adult,female,yes
496,2nd,adult,female,yes
497,2nd,adult,female,yes
498,2nd,adult,female,yes
499,2nd,adult,female,yes
500,2nd,adult,female,yes
501,2nd,adult,female,yes
502,2nd,adult,female,yes
503,2nd,adult,female,yes
504,2nd,adult,female,yes
505,2nd,adult,female,yes
506,2nd,adult,female,yes
507,2nd,adult,female,yes
508,2nd,adult,female,yes
509,2nd,adult,female,yes
510,2nd,adult,female,yes
511,2nd,adult,female,yes
512,2nd,adult,female,yes
513,2nd,adult,female,yes
514,2nd,adult,female,yes
515,2nd,adult,female,yes
516,2nd,adult,female,yes
517,2nd,adult,female,yes
518,2nd,adult,female,yes
519,2nd,adult,female,yes
520,2nd,adult,female,yes
521,2nd,adult,female,yes
522,2nd,adult,female,yes
523,2nd,adult,female,yes
524,2nd,adult,female,yes
525,2nd,adult,female,yes
526,2nd,adult,female,yes
527,2nd,adult,female,yes
528,2nd,adult,female,yes
529,2nd,adult,female,yes
530,2nd,adult,female,yes
531,2nd,adult,female,yes
532,2nd,adult,female,yes
533,2nd,adult,female,yes
534,2nd,adult,female,yes
535,2nd,adult,female,yes
536,2nd,adult,female,yes
537,2nd,adult,female,yes
538,2nd,adult,female,yes
539,2nd,adult,female,yes
540,2nd,adult,female,yes
541,2nd,adult,female,yes
542,2nd,adult,female,yes
543,2nd,adult,female,yes
544,2nd,adult,female,yes
545,2nd,adult,female,yes
546,2nd,adult,female,yes
547,2nd,adult,female,yes
548,2nd,adult,female,yes
549,2nd,adult,female,yes
550,2nd,adult,female,yes
551,2nd,adult,female,yes
552,2nd,adult,female,yes
553,2nd,adult,female,yes
554,2nd,adult,female,yes
555,2nd,adult,female,yes
556,2nd,adult,female,yes
557,2nd,adult,female,yes
558,2nd,adult,female,yes
559,2nd,adult,female,yes
560,2nd,adult,female,yes
561,2nd,adult,female,yes
562,2nd,adult,female,yes
563,2nd,adult,female,yes
564,2nd,adult,female,yes
565,2nd,adult,female,yes
566,2nd,adult,female,yes
567,2nd,adult,female,yes
568,2nd,adult,female,yes
569,2nd,adult,female,yes
570,2nd,adult,female,yes
571,2nd,adult,female,yes
572,2nd,adult,female,yes
573,2nd,adult,female,yes
574,2nd,adult,female,no
575,2nd,adult,female,no
576,2nd,adult,female,no
577,2nd,adult,female,no
578,2nd,adult,female,no
579,2nd,adult,female,no
580,2nd,adult,female,no
581,2nd,adult,female,no
582,2nd,adult,female,no
583,2nd,adult,female,no
584,2nd,adult,female,no
585,2nd,adult,female,no
586,2nd,adult,female,no
587,2nd,child,male,yes
588,2nd,child,male,yes
589,2nd,child,male,yes
590,2nd,child,male,yes
591,2nd,child,male,yes
592,2nd,child,male,yes
593,2nd,child,male,yes
594,2nd,child,male,yes
595,2nd,child,male,yes
596,2nd,child,male,yes
597,2nd,child,male,yes
598,2nd,child,female,yes
599,2nd,child,female,yes
600,2nd,child,female,yes
601,2nd,child,female,yes
602,2nd,child,female,yes
603,2nd,child,female,yes
604,2nd,child,female,yes
605,2nd,child,female,yes
606,2nd,child,female,yes
607,2nd,child,female,yes
608,2nd,child,female,yes
609,2nd,child,female,yes
610,2nd,child,female,yes
611,3rd,adult,male,yes
612,3rd,adult,male,yes
613,3rd,adult,male,yes
614,3rd,adult,male,yes
615,3rd,adult,male,yes
616,3rd,adult,male,yes
617,3rd,adult,male,yes
618,3rd,adult,male,yes
619,3rd,adult,male,yes
620,3rd,adult,male,yes
621,3rd,adult,male,yes
622,3rd,adult,male,yes
623,3rd,adult,male,yes
624,3rd,adult,male,yes
625,3rd,adult,male,yes
626,3rd,adult,male,yes
627,3rd,adult,male,yes
628,3rd,adult,male,yes
629,3rd,adult,male,yes
630,3rd,adult,male,yes
631,3rd,adult,male,yes
632,3rd,adult,male,yes
633,3rd,adult,male,yes
634,3rd,adult,male,yes
635,3rd,adult,male,yes
636,3rd,adult,male,yes
637,3rd,adult,male,yes
638,3rd,adult,male,yes
639,3rd,adult,male,yes
640,3rd,adult,male,yes
641,3rd,adult,male,yes
642,3rd,adult,male,yes
643,3rd,adult,male,yes
644,3rd,adult,male,yes
645,3rd,adult,male,yes
646,3rd,adult,male,yes
647,3rd,adult,male,yes
648,3rd,adult,male,yes
649,3rd,adult,male,yes
650,3rd,adult,male,yes
651,3rd,adult,male,yes
652,3rd,adult,male,yes
653,3rd,adult,male,yes
654,3rd,adult,male,yes
655,3rd,adult,male,yes
656,3rd,adult,male,yes
657,3rd,adult,male,yes
658,3rd,adult,male,yes
659,3rd,adult,male,yes
660,3rd,adult,male,yes
661,3rd,adult,male,yes
662,3rd,adult,male,yes
663,3rd,adult,male,yes
664,3rd,adult,male,yes
665,3rd,adult,male,yes
666,3rd,adult,male,yes
667,3rd,adult,male,yes
668,3rd,adult,male,yes
669,3rd,adult,male,yes
670,3rd,adult,male,yes
671,3rd,adult,male,yes
672,3rd,adult,male,yes
673,3rd,adult,male,yes
674,3rd,adult,male,yes
675,3rd,adult,male,yes
676,3rd,adult,male,yes
677,3rd,adult,male,yes
678,3rd,adult,male,yes
679,3rd,adult,male,yes
680,3rd,adult,male,yes
681,3rd,adult,male,yes
682,3rd,adult,male,yes
683,3rd,adult,male,yes
684,3rd,adult,male,yes
685,3rd,adult,male,yes
686,3rd,adult,male,no
687,3rd,adult,male,no
688,3rd,adult,male,no
689,3rd,adult,male,no
690,3rd,adult,male,no
691,3rd,adult,male,no
692,3rd,adult,male,no
693,3rd,adult,male,no
694,3rd,adult,male,no
695,3rd,adult,male,no
696,3rd,adult,male,no
697,3rd,adult,male,no
698,3rd,adult,male,no
699,3rd,adult,male,no
700,3rd,adult,male,no
701,3rd,adult,male,no
702,3rd,adult,male,no
703,3rd,adult,male,no
704,3rd,adult,male,no
705,3rd,adult,male,no
706,3rd,adult,male,no
707,3rd,adult,male,no
708,3rd,adult,male,no
709,3rd,adult,male,no
710,3rd,adult,male,no
711,3rd,adult,male,no
712,3rd,adult,male,no
713,3rd,adult,male,no
714,3rd,adult,male,no
715,3rd,adult,male,no
716,3rd,adult,male,no
717,3rd,adult,male,no
718,3rd,adult,male,no
719,3rd,adult,male,no
720,3rd,adult,male,no
721,3rd,adult,male,no
722,3rd,adult,male,no
723,3rd,adult,male,no
724,3rd,adult,male,no
725,3rd,adult,male,no
726,3rd,adult,male,no
727,3rd,adult,male,no
728,3rd,adult,male,no
729,3rd,adult,male,no
730,3rd,adult,male,no
731,3rd,adult,male,no
732,3rd,adult,male,no
733,3rd,adult,male,no
734,3rd,adult,male,no
735,3rd,adult,male,no
736,3rd,adult,male,no
737,3rd,adult,male,no
738,3rd,adult,male,no
739,3rd,adult,male,no
740,3rd,adult,male,no
741,3rd,adult,male,no
742,3rd,adult,male,no
743,3rd,adult,male,no
744,3rd,adult,male,no
745,3rd,adult,male,no
746,3rd,adult,male,no
747,3rd,adult,male,no
748,3rd,adult,male,no
749,3rd,adult,male,no
750,3rd,adult,male,no
751,3rd,adult,male,no
752,3rd,adult,male,no
753,3rd,adult,male,no
754,3rd,adult,male,no
755,3rd,adult,male,no
756,3rd,adult,male,no
757,3rd,adult,male,no
758,3rd,adult,male,no
759,3rd,adult,male,no
760,3rd,adult,male,no
761,3rd,adult,male,no
762,3rd,adult,male,no
763,3rd,adult,male,no
764,3rd,adult,male,no
765,3rd,adult,male,no
766,3rd,adult,male,no
767,3rd,adult,male,no
768,3rd,adult,male,no
769,3rd,adult,male,no
770,3rd,adult,male,no
771,3rd,adult,male,no
772,3rd,adult,male,no
773,3rd,adult,male,no
774,3rd,adult,male,no
775,3rd,adult,male,no
776,3rd,adult,male,no
777,3rd,adult,male,no
778,3rd,adult,male,no
779,3rd,adult,male,no
780,3rd,adult,male,no
781,3rd,adult,male,no
782,3rd,adult,male,no
783,3rd,adult,male,no
784,3rd,adult,male,no
785,3rd,adult,male,no
786,3rd,adult,male,no
787,3rd,adult,male,no
788,3rd,adult,male,no
789,3rd,adult,male,no
790,3rd,adult,male,no
791,3rd,adult,male,no
792,3rd,adult,male,no
793,3rd,adult,male,no
794,3rd,adult,male,no
795,3rd,adult,male,no
796,3rd,adult,male,no
797,3rd,adult,male,no
798,3rd,adult,male,no
799,3rd,adult,male,no
800,3rd,adult,male,no
801,3rd,adult,male,no
802,3rd,adult,male,no
803,3rd,adult,male,no
804,3rd,adult,male,no
805,3rd,adult,male,no
806,3rd,adult,male,no
807,3rd,adult,male,no
808,3rd,adult,male,no
809,3rd,adult,male,no
810,3rd,adult,male,no
811,3rd,adult,male,no
812,3rd,adult,male,no
813,3rd,adult,male,no
814,3rd,adult,male,no
815,3rd,adult,male,no
816,3rd,adult,male,no
817,3rd,adult,male,no
818,3rd,adult,male,no
819,3rd,adult,male,no
820,3rd,adult,male,no
821,3rd,adult,male,no
822,3rd,adult,male,no
823,3rd,adult,male,no
824,3rd,adult,male,no
825,3rd,adult,male,no
826,3rd,adult,male,no
827,3rd,adult,male,no
828,3rd,adult,male,no
829,3rd,adult,male,no
830,3rd,adult,male,no
831,3rd,adult,male,no
832,3rd,adult,male,no
833,3rd,adult,male,no
834,3rd,adult,male,no
835,3rd,adult,male,no
836,3rd,adult,male,no
837,3rd,adult,male,no
838,3rd,adult,male,no
839,3rd,adult,male,no
840,3rd,adult,male,no
841,3rd,adult,male,no
842,3rd,adult,male,no
843,3rd,adult,male,no
844,3rd,adult,male,no
845,3rd,adult,male,no
846,3rd,adult,male,no
847,3rd,adult,male,no
848,3rd,adult,male,no
849,3rd,adult,male,no
850,3rd,adult,male,no
851,3rd,adult,male,no
852,3rd,adult,male,no
853,3rd,adult,male,no
854,3rd,adult,male,no
855,3rd,adult,male,no
856,3rd,adult,male,no
857,3rd,adult,male,no
858,3rd,adult,male,no
859,3rd,adult,male,no
860,3rd,adult,male,no
861,3rd,adult,male,no
862,3rd,adult,male,no
863,3rd,adult,male,no
864,3rd,adult,male,no
865,3rd,adult,male,no
866,3rd,adult,male,no
867,3rd,adult,male,no
868,3rd,adult,male,no
869,3rd,adult,male,no
870,3rd,adult,male,no
871,3rd,adult,male,no
872,3rd,adult,male,no
873,3rd,adult,male,no
874,3rd,adult,male,no
875,3rd,adult,male,no
876,3rd,adult,male,no
877,3rd,adult,male,no
878,3rd,adult,male,no
879,3rd,adult,male,no
880,3rd,adult,male,no
881,3rd,adult,male,no
882,3rd,adult,male,no
883,3rd,adult,male,no
884,3rd,adult,male,no
885,3rd,adult,male,no
886,3rd,adult,male,no
887,3rd,adult,male,no
888,3rd,adult,male,no
889,3rd,adult,male,no
890,3rd,adult,male,no
891,3rd,adult,male,no
892,3rd,adult,male,no
893,3rd,adult,male,no
894,3rd,adult,male,no
895,3rd,adult,male,no
896,3rd,adult,male,no
897,3rd,adult,male,no
898,3rd,adult,male,no
899,3rd,adult,male,no
900,3rd,adult,male,no
901,3rd,adult,male,no
902,3rd,adult,male,no
903,3rd,adult,male,no
904,3rd,adult,male,no
905,3rd,adult,male,no
906,3rd,adult,male,no
907,3rd,adult,male,no
908,3rd,adult,male,no
909,3rd,adult,male,no
910,3rd,adult,male,no
911,3rd,adult,male,no
912,3rd,adult,male,no
913,3rd,adult,male,no
914,3rd,adult,male,no
915,3rd,adult,male,no
916,3rd,adult,male,no
917,3rd,adult,male,no
918,3rd,adult,male,no
919,3rd,adult,male,no
920,3rd,adult,male,no
921,3rd,adult,male,no
922,3rd,adult,male,no
923,3rd,adult,male,no
924,3rd,adult,male,no
925,3rd,adult,male,no
926,3rd,adult,male,no
927,3rd,adult,male,no
928,3rd,adult,male,no
929,3rd,adult,male,no
930,3rd,adult,male,no
931,3rd,adult,male,no
932,3rd,adult,male,no
933,3rd,adult,male,no
934,3rd,adult,male,no
935,3rd,adult,male,no
936,3rd,adult,male,no
937,3rd,adult,male,no
938,3rd,adult,male,no
939,3rd,adult,male,no
940,3rd,adult,male,no
941,3rd,adult,male,no
942,3rd,adult,male,no
943,3rd,adult,male,no
944,3rd,adult,male,no
945,3rd,adult,male,no
946,3rd,adult,male,no
947,3rd,adult,male,no
948,3rd,adult,male,no
949,3rd,adult,male,no
950,3rd,adult,male,no
951,3rd,adult,male,no
952,3rd,adult,male,no
953,3rd,adult,male,no
954,3rd,adult,male,no
955,3rd,adult,male,no
956,3rd,adult,male,no
957,3rd,adult,male,no
958,3rd,adult,male,no
959,3rd,adult,male,no
960,3rd,adult,male,no
961,3rd,adult,male,no
962,3rd,adult,male,no
963,3rd,adult,male,no
964,3rd,adult,male,no
965,3rd,adult,male,no
966,3rd,adult,male,no
967,3rd,adult,male,no
968,3rd,adult,male,no
969,3rd,adult,male,no
970,3rd,adult,male,no
971,3rd,adult,male,no
972,3rd,adult,male,no
973,3rd,adult,male,no
974,3rd,adult,male,no
975,3rd,adult,male,no
976,3rd,adult,male,no
977,3rd,adult,male,no
978,3rd,adult,male,no
979,3rd,adult,male,no
980,3rd,adult,male,no
981,3rd,adult,male,no
982,3rd,adult,male,no
983,3rd,adult,male,no
984,3rd,adult,male,no
985,3rd,adult,male,no
986,3rd,adult,male,no
987,3rd,adult,male,no
988,3rd,adult,male,no
989,3rd,adult,male,no
990,3rd,adult,male,no
991,3rd,adult,male,no
992,3rd,adult,male,no
993,3rd,adult,male,no
994,3rd,adult,male,no
995,3rd,adult,male,no
996,3rd,adult,male,no
997,3rd,adult,male,no
998,3rd,adult,male,no
999,3rd,adult,male,no
1000,3rd,adult,male,no
1001,3rd,adult,male,no
1002,3rd,adult,male,no
1003,3rd,adult,male,no
1004,3rd,adult,male,no
1005,3rd,adult,male,no
1006,3rd,adult,male,no
1007,3rd,adult,male,no
1008,3rd,adult,male,no
1009,3rd,adult,male,no
1010,3rd,adult,male,no
1011,3rd,adult,male,no
1012,3rd,adult,male,no
1013,3rd,adult,male,no
1014,3rd,adult,male,no
1015,3rd,adult,male,no
1016,3rd,adult,male,no
1017,3rd,adult,male,no
1018,3rd,adult,male,no
1019,3rd,adult,male,no
1020,3rd,adult,male,no
1021,3rd,adult,male,no
1022,3rd,adult,male,no
1023,3rd,adult,male,no
1024,3rd,adult,male,no
1025,3rd,adult,male,no
1026,3rd,adult,male,no
1027,3rd,adult,male,no
1028,3rd,adult,male,no
1029,3rd,adult,male,no
1030,3rd,adult,male,no
1031,3rd,adult,male,no
1032,3rd,adult,male,no
1033,3rd,adult,male,no
1034,3rd,adult,male,no
1035,3rd,adult,male,no
1036,3rd,adult,male,no
1037,3rd,adult,male,no
1038,3rd,adult,male,no
1039,3rd,adult,male,no
1040,3rd,adult,male,no
1041,3rd,adult,male,no
1042,3rd,adult,male,no
1043,3rd,adult,male,no
1044,3rd,adult,male,no
1045,3rd,adult,male,no
1046,3rd,adult,male,no
1047,3rd,adult,male,no
1048,3rd,adult,male,no
1049,3rd,adult,male,no
1050,3rd,adult,male,no
1051,3rd,adult,male,no
1052,3rd,adult,male,no
1053,3rd,adult,male,no
1054,3rd,adult,male,no
1055,3rd,adult,male,no
1056,3rd,adult,male,no
1057,3rd,adult,male,no
1058,3rd,adult,male,no
1059,3rd,adult,male,no
1060,3rd,adult,male,no
1061,3rd,adult,male,no
1062,3rd,adult,male,no
1063,3rd,adult,male,no
1064,3rd,adult,male,no
1065,3rd,adult,male,no
1066,3rd,adult,male,no
